product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itmc5814f4e2a802?pid=SHOGH3Y29E3ERWYG&lid=LSTSHOGH3Y29E3ERWYGOI2TYK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvMCH0F5831IgZWXriPjL_yAv0PKE0_lnHEPOe8SLY4IbvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,291,0.07,4,158069
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itmd28f73dfdbae0?pid=SHOGKRMTUNRHHHTS&lid=LSTSHOGKRMTUNRHHHTSMN7MSF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGKRMTUNRHHHTS.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,Gym shoes...more",Vokline,271,0.07,4.1,158089
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGPDZFUG63&lid=LSTSHOGBSKGPDZFUG63LH7I47&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGBSKGPDZFUG63.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,gym shoes...more",Vokline,264,0.07,4.1,158089
https://www.flipkart.com/action-athleo-kia-208-comfortable-trendy-lightweight-durable-sports-lace-up-running-shoes-women/p/itm79fb35cc47256?pid=SHOHBPZCFPWUEWN5&lid=LSTSHOHBPZCFPWUEWN5WGYIBB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_38&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvOloCuA7K9j55vQY5IKrYidbVib_qQxrL_eW6YmNgDoq8svznWCApVxH0FtqY3oUAk%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,ACTION Athleo KIA-208 Comfortable Trendy Lightweight Durable Spor...more,ACTION,842,6.74,3.9,162
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm3d4242c7b6e52?pid=SHOHBEZ7ZUVWCZMJ&lid=LSTSHOHBEZ7ZUVWCZMJCG3LBU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_40&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHBEZ7ZUVWCZMJ.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,490,0.07,4.1,1427
https://www.flipkart.com/k-footlance-walking-shoes-women/p/itm9092b85991653?pid=SHOGXGJFZRNGUMAH&marketplace=FLIPKART&ov_redirect=true,K' Footlance Walking Shoes For Women,K' Footlance,310,0.07,3.9,22911
https://www.flipkart.com/asian-fashion-02-sports-shoes-women-without-laces-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-slip-grey-jogging-walking-gym-party-walking/p/itmf7ct5bpync2uh?pid=SHOF7CRTUHGSHPJW&marketplace=FLIPKART&ov_redirect=true,asian Fashion-02 sports shoes for women without laces | Running s...more,asian,752,5.43,4.2,21441
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm0f251ed5c3b56?pid=SHOHBEZ7MMGHBPUF&lid=LSTSHOHBEZ7MMGHBPUF5RFSE8&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvGhDP_uTpyb3L4p9D3MTBrbBFxvdDkdx1rOvlStnaDHw%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,508,0.07,4.1,1427
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGMHXDPP5Z&lid=LSTSHOGBSKGMHXDPP5Z7XWQZJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvvGq060YGlja5mtsQ9ZX_ZwBgKzG2yuq4Dh1SXeRlcNw%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,gym shoes...more",Vokline,264,0.07,4.1,158089
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itmd28f73dfdbae0?pid=SHOGKRMTAHHJPHU2&lid=LSTSHOGKRMTAHHJPHU2AARVBQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvnf3VSccqLz0R0jf6zkbJvJiTIZuVIM2BoyrtVJ0EB0Q%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,Gym shoes...more",Vokline,271,0.07,4.1,158089
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itmc5814f4e2a802?pid=SHOGH3Y29E3ERWYG&lid=LSTSHOGH3Y29E3ERWYGOI2TYK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylysfo2lF7M4iUJRtPqdJI8xR9fm-N0HuxRq6CBrMgorW2g%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,291,0.07,4,158069
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm3d4242c7b6e52?pid=SHOHBEZ7ZUVWCZMJ&lid=LSTSHOHBEZ7ZUVWCZMJCG3LBU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvgJPsSi9EzATnxpwuw_wgKfC8IdsgBk9rM7cXqHyRyxA%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,490,0.07,4.1,1427
https://www.flipkart.com/abros-pastel-running-shoes-women/p/itm54ebf6f4bef28?pid=SHOHKAMB3UYBZCHC&lid=LSTSHOHKAMB3UYBZCHCMJ7GNG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvBFGZx35tPQSwKwV6A0YuWd6CzmeBaiEB4leGYNg1wBfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,Abros PASTEL Running Shoes For Women,Abros,659,7.64,4.4,44
