product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm0f251ed5c3b56?pid=SHOHBEZ7MMGHBPUF&lid=LSTSHOHBEZ7MMGHBPUF5RFSE8&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvOTSjvyyYBHPZlVVrtyOjQvbBFxvdDkdx1rOvlStnaDHw%3D%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,508,0.07,4.1,1427
https://www.flipkart.com/abros-pastel-running-shoes-women/p/itm54ebf6f4bef28?pid=SHOHKAMB3UYBZCHC&lid=LSTSHOHKAMB3UYBZCHCMJ7GNG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvMAHWgngASgwNQ_NR3sFwftcFJHK2MsfbsGpFpRXpgCJPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Abros PASTEL Running Shoes For Women,Abros,659,7.64,4.4,44
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBE33W7UXG&lid=LSTSHOGPDFBE33W7UXGUCX0RG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGPDFBE33W7UXG.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"asian Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running...more",asian,847,6.55,4.2,108873
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itmc5814f4e2a802?pid=SHOGH3Y29E3ERWYG&lid=LSTSHOGH3Y29E3ERWYGOI2TYK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGH3Y29E3ERWYG.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,291,0.07,4,158069
https://www.flipkart.com/royal-fashion-trendy-women-sport-running-shoes/p/itmaefdd8a599ed3?pid=SHOHHNJQRBKCCMVH&lid=LSTSHOHHNJQRBKCCMVH67WPRE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvNyCpW3d1fvTN-qONw-ieVEubokDH1SNaArmF5GdHbQJfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Royal Fashion Trendy Women Sport | Running Shoes For Women (Green...more,Royal Fashion,454,8.73,4,
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGMHXDPP5Z&lid=LSTSHOGBSKGMHXDPP5Z7XWQZJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvPMHj5CmZqbkZLaPXncdwrf4IVyCCUDa3ROoAbelh3UWvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,gym shoes...more",Vokline,264,0.07,4.1,158089
https://www.flipkart.com/red-tape-women-s-slip-on-walking-shoes-lightweight-comfort-women/p/itme1d74197280a9?pid=SHOHEB69DKVZ4WRZ&lid=LSTSHOHEB69DKVZ4WRZPB9GCN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHEB69DKVZ4WRZ.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,REDTAPE Women's Slip-On Walking Shoes for Lightweight Comfort Wal...more,REDTAPE,1036,7.35,4.4,426
https://www.flipkart.com/adidas-airbreeze-w-running-shoes-women/p/itm269ae8314f27b?pid=SHOHGMQAWYBZBHV3&lid=LSTSHOHGMQAWYBZBHV3S9N28T&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHGMQAWYBZBHV3.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,adidas AirBreeze W Running Shoes For Women,adidas,1634,5.4,4.3,304
https://www.flipkart.com/adidas-airbreeze-w-running-shoes-women/p/itmdb2ddbab6c6b0?pid=SHOHGMQAVCZNGB3M&lid=LSTSHOHGMQAVCZNGB3M9EVBI5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHGMQAVCZNGB3M.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,adidas AirBreeze W Running Shoes For Women,adidas,1634,6.7,4.3,304
https://www.flipkart.com/fabbmate-casual-sports-shoes-white-sneakers-women-girls/p/itma5fcb289f70ae?pid=SHOHF5MMWFRWCGVA&lid=LSTSHOHF5MMWFRWCGVANKZBU3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHF5MMWFRWCGVA.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Fabbmate Casual Sports shoes White Sneakers for Women Girls White...more,Fabbmate,389,0.07,4,21714
